sectionCenters,x,y,z
88,-26007.838087681223,38281.70385166613,16440.492800988242
89,-26002.37577145404,38269.71066265539,16437.564231578643
90,-26001.566539420386,38267.933893913054,16437.130369443887
91,-26000.75730738673,38266.15712517072,16436.69650730913
92,-25995.29499115955,38254.16393615998,16433.76793789953
93,-25975.46880633496,38210.63310197284,16423.138315598022
94,-25955.64262151037,38167.102267785696,16412.508693296506
95,-25950.18030528319,38155.10907877495,16409.580123886906
96,-25949.37107324953,38153.332310032616,16409.14626175215
97,-25948.561841215873,38151.55554129028,16408.712399617394
98,-25943.09952498869,38139.562352279536,16405.783830207794
99,-25923.2733401641,38096.03151809239,16395.154207906286
100,-25903.447155339512,38052.50068390525,16384.524585604773
101,-25897.98483911233,38040.50749489451,16381.596016195172
102,-25897.175607078676,38038.73072615218,16381.162154060416
103,-25896.36637504502,38036.953957409845,16380.72829192566
104,-25890.904058817836,38024.960768399105,16377.799722516058
105,-25871.1000273559,37981.42718788257,16367.140174371027
106,-25851.323628338283,37937.89018180057,16356.443298971539
107,-25845.87502860894,37925.895292369816,16353.49620064719
108,-25845.067828649037,37924.11827171341,16353.05959348803
109,-25844.26062868913,37922.341251057005,16352.622986328866
110,-25838.81202895979,37910.34636162625,16349.675888004518
111,-25819.035629942176,37866.809355544254,16338.97901260503
112,-25799.25923092456,37823.272349462255,16328.282137205542
113,-25793.810631195214,37811.2774600315,16325.335038881194
114,-25793.003431235313,37809.5004393751,16324.898431722031
115,-25792.19623127541,37807.72341871869,16324.46182456287
116,-25786.747631546066,37795.72852928794,16321.514726238522
117,-25766.97123252845,37752.19152320594,16310.817850839034
118,-25747.194833510835,37708.65451712394,16300.120975439546
119,-25741.746233781494,37696.65962769319,16297.173877115198
120,-25740.93903382159,37694.88260703678,16296.737269956036
121,-25740.131833861684,37693.10558638038,16296.300662796873
122,-25734.683234132342,37681.110696949625,16293.353564472525
123,-25714.90683511473,37637.573690867626,16282.656689073037
124,-25695.130436097115,37594.03668478563,16271.95981367355
125,-25689.681836367774,37582.041795354875,16269.012715349201
126,-25688.87463640787,37580.26477469847,16268.576108190038
127,-25688.067436447964,37578.487754042064,16268.139501030877
128,-25682.618836718622,37566.49286461131,16265.192402706529
129,-25662.84243770101,37522.95585852931,16254.495527307039
